company_id,company_name_cn,company_name_en,stock_code,exchange,founded_year,headquarters,website,chip_type,chip_subtype,application,abf_usage,bt_usage,packaging_tech,chip_size,est_annual_volume,main_customers,foundry,assembly_test,tech_node,revenue_usd,growth_outlook,data_status,last_verified,source,notes,category_region,listing_status,market_cap_usd,employees,r_and_d_spend
NVDA,英伟达,NVIDIA,NVDA,NASDAQ,1993,Santa Clara,CA,USA,https://www.nvidia.com,GPU/AI,数据中心GPU;消费级GPU,数据中心;游戏;AI,是,否,CoWoS;InFO,~800mm²,15000,数据中心云服务商;游戏玩家;企业AI,TSMC;Samsung,ASE;Amkor,5nm;4nm,60920,极高,已验证,2026-01-15,公司财报;产品发布,AI芯片领导者,北美,是,1200000,29600,17000
AMD,超威半导体,AMD,AMD,NASDAQ,1969,Sunnyvale,CA,USA,https://www.amd.com,CPU/GPU,服务器CPU;消费级GPU;AI加速器,数据中心;PC;游戏,是,中,CoWoS;2.5D,~600mm²,8000,数据中心;PC OEM;游戏玩家,TSMC,ASE;Amkor,5nm;7nm,22748,高,已验证,2026-01-15,公司财报,Xilinx已收购,北美,是,200000,26000,6000
INTC,英特尔,Intel,INTC,NASDAQ,1968,Santa Clara,CA,USA,https://www.intel.com,CPU,通用CPU;服务器CPU;GPU,数据中心;PC;边缘计算,是,中,Intel EMIB;Foveros,~500mm²,10000,数据中心;PC OEM;企业,Intel Foundry;TSMC,ASE;Amkor,Intel 4nm;7nm,54200,中,已验证,2026-01-15,公司财报,GPU业务待发力,北美,是,150000,121000,18000
QCOM,高通,Qualcomm,QCOM,NASDAQ,1985,San Diego,CA,USA,https://www.qualcomm.com,通信芯片,手机SoC;基带芯片,智能手机;物联网;汽车,否,是,Flip Chip;2.5D,~200mm²,50000,手机厂商（苹果除外）;汽车厂商,TSMC;Samsung,ASE;Amkor,3nm;4nm,35800,中,已验证,2026-01-15,公司财报,全球手机SoC第一,北美,是,180000,50000,8500
AVGO,博通,Broadcom,AVGO,NASDAQ,1961,San Jose,CA,USA,https://www.broadcom.com,ASIC/定制芯片,网络处理器;无线芯片;定制ASIC,数据中心;电信;企业网络,中是,Flip Chip;2.5D,~400mm²,12000,云服务商;电信运营商;企业,TSMC;Samsung,ASE;Amkor,5nm;7nm,35800,高,已验证,2026-01-15,公司财报,VMware收购完成,北美,是,420000,40000,12000
2454.TW,联发科,MediaTek,2454.TW,TWSE,1997,Hsinchu,Taiwan,https://www.mediatek.com,CPU/通信芯片,手机SoC;电视芯片;物联网芯片,智能手机;智能电视;物联网,否,是,Flip Chip;先进封装,~150mm²,60000,小米;OPPO;vivo;三星,TSMC,ASE,6nm;7nm,13800,中,已验证,2026-01-15,公司财报,全球手机SoC第二,台湾,是,55000,10000,3000
GOOGL,谷歌,Alphabet (Google),GOOGL,NASDAQ,1998,Mountain View,CA,USA,https://www.about.google,GPU/AI,AI加速器（TPU）,数据中心;云服务,是,否,CoWoS,~700mm²,5000,Google Cloud内部使用,TSMC,ASE,5nm;7nm,（未单独披露）,高,已验证,2026-01-15,产品发布;技术博客,TPU系列已到V5,北美,是,1700000,180000,40000
AMZN,亚马逊,Amazon,AMZN,NASDAQ,1994,Seattle,WA,USA,https://www.amazon.com,GPU/AI,AI加速器（Trainium;Inferentia）,数据中心;AWS云服务,是,否,CoWoS,~600mm²,3000,AWS内部使用,TSMC,ASE,5nm;7nm,（未单独披露）,高,已验证,2026-01-15,产品发布;技术博客,自研芯片供内部使用,北美,是,1800000,154000,85000
MSFT,微软,Microsoft,MSFT,NASDAQ,1975,Redmond,WA,USA,https://www.microsoft.com,GPU/AI,AI加速器（Athena）,数据中心;Azure云服务,是,否,CoWoS,~500mm²,2000,Microsoft内部使用,TSMC,ASE,5nm;7nm,（未单独披露）,高,已验证,2026-01-15,新闻报道,自研芯片供内部使用,北美,是,2900000,221000,27000
AAPL,苹果,Apple,AAPL,NASDAQ,1976,Cupertino,CA,USA,https://www.apple.com,CPU,移动SoC（A系列;M系列）,智能手机;平板;PC;可穿戴设备,否,是,Flip Chip;先进封装,~120mm²,25000,iPhone;iPad;Mac用户,TSMC,ASE;Amkor,3nm;5nm,（未单独披露）,中,已验证,2026-01-15,产品发布,台积电最大客户之一,北美,是,2900000,164000,29000
005930.KS,三星电子,Samsung Electronics,005930.KS,KRX,1969,Suwon,South Korea,https://www.samsung.com,存储芯片;CPU,DRAM;NAND Flash;手机SoC,数据中心;移动设备;消费电子,否,是,Flip Chip;3D封装, varies,80000,全球OEM厂商,Samsung Foundry,自有封装,5nm;7nm;10nm,（未单独披露）,中,已验证,2026-01-15,公司财报,存储+芯片设计业务合并,韩国,部分上市,350000,270000,18000
MU,美光,Micron Technology,MU,NASDAQ,1978,Boise,ID,USA,https://www.micron.com,存储芯片,DRAM;NAND Flash,数据中心;PC;移动设备,否,是,Flip Chip;3D封装, varies,40000,数据中心厂商;PC OEM;手机厂商,TSMC;Samsung,自有封装,1-beta;1-gamma,21500,中,已验证,2026-01-15,公司财报,存储控制器也使用BT载板,北美,是,80000,48000,3000
LSCC,莱迪思,Lattice Semiconductor,LSCC,NASDAQ,1983,Hillsboro,OR,USA,https://www.latticesemi.com,FPGA,低功耗FPGA,工业;通信;汽车,否,是,Flip Chip, varies,5000,工业设备厂商;通信设备商,TSMC,ASE;Amkor,28nm;40nm,600,中,已验证,2026-01-15,公司财报,低功耗FPGA专家,北美,是,8000,1000,200
MCHP,微芯科技,Microchip Technology,MCHP,NASDAQ,1987,Chandler,AZ,USA,https://www.microchip.com,FPGA;MCU,FPGA;MCU;模拟芯片,工业;汽车;航空航天,否,是,Flip Chip, varies,3000,工业OEM;汽车Tier1,TSMC;Samsung,ASE,28nm;55nm,7600,低,已验证,2026-01-15,公司财报,模拟+嵌入式专家,北美,是,45000,22000,1000
MRVL,美满电子,Marvell Technology,MRVL,NASDAQ,1995,Burlington,Ontario,Canada,https://www.marvell.com,ASIC/定制芯片,网络处理器;存储控制器;基础设施芯片,数据中心;电信;企业网络,是,中,2.5D;先进封装,~400mm²,6000,云服务商;电信设备商,TSMC;Samsung,ASE;Amkor,5nm;7nm,14500,高,已验证,2026-01-15,公司财报,数据中心业务强劲,北美,是,95000,6000,3500
2379.TW,瑞昱,Realtek Semiconductor,2379.TW,TWSE,1987,Hsinchu,Taiwan,https://www.realtek.com,通信芯片;ASIC,以太网芯片;WiFi芯片;显示芯片,PC;消费电子;物联网,否,是,Flip Chip, varies,20000,PC OEM;消费电子厂商,TSMC,ASE,28nm;40nm,3500,中,已验证,2026-01-15,公司财报,以太网芯片领导者,台湾,是,15000,5000,800
3034.TW,联咏,Novatek Microelectronics,3034.TW,TWSE,1997,Hsinchu,Taiwan,https://www.novatek.com,通信芯片,显示驱动芯片（DDIC）,智能手机;电视;平板,否,是,Flip Chip, varies,25000,面板厂商;手机厂商,TSMC,ASE,28nm;40nm,4200,中,已验证,2026-01-15,公司财报,显示驱动芯片第一,台湾,是,12000,4000,600
